,RegionName,City,State,Metro,CountyName,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01
34,90046,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1095000.0,1100000.0,1142000.0,1199000.0,1249000.0,1297000.0,1100000.0,1197000.0,1199000.0,1250000.0,1199000.0,1199000.0,1150000.0,1124500.0,1150000.0,1149000.0,1197000.0,1150000.0,1200000.0,1250000.0,1290000.0,1195000.0,1149500.0,1196250.0,1349000.0,1297000.0,1299000.0,1397000.0,1397000.0,1325000.0,1295000.0,1295000.0,1299000.0,1395000.0,1499000.0,1399000.0,1400000.0,1399000.0,1385000.0,1312500.0,1368000.0,1499000.0,1399000.0,1475000.0,1450000.0,1487500.0,1399000.0,1400900.0,1635000.0,1592500.0,1699000.0,1679000.0
88,90044,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254900.0,258948.5,250000.0,255000.0,266000.0,265000.0,269900.0,264995.0,270000.0,269000.0,277449.5,279900.0,265000.0,249950.0,279995.0,289000.0,289900.0,299000.0,300000.0,295500.0,307500.0,310000.0,315000.0,310000.0,316000.0,320000.0,319950.0,325000.0,325000.0,325000.0,339295.0,340000.0,348950.0,349950.0,345000.0,360000.0,350000.0,342021.0,349450.0,349000.0,355500.0,359900.0,369900.0,377000.0,389999.0,389999.0,399900.0,405000.0,410000.0,419000.0,419900.0
108,90026,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,715000.0,694000.0,694000.0,692000.0,691000.0,639000.0,672000.0,699000.0,744000.0,744000.0,725000.0,749000.0,699000.0,688700.0,699450.0,699000.0,714499.5,699000.0,744000.0,749000.0,778200.0,729000.0,749999.0,785000.0,795000.0,795000.0,797000.0,799000.0,799000.0,779000.0,779000.0,754500.0,750000.0,775000.0,789000.0,759000.0,785000.0,796500.0,823500.0,799000.0,849000.0,883500.0,890000.0,889000.0,899000.0,899000.0,944000.0,989000.0,939000.0,944000.0,899990.0
139,90066,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1129000.0,1095000.0,1069000.0,1050000.0,1070500.0,1100000.0,1049000.0,1149000.0,1150000.0,1134500.0,1195000.0,1195000.0,1097000.0,1199000.0,1199000.0,1200000.0,1162500.0,1199000.0,1199000.0,1272000.0,1322500.0,1297000.0,1224500.0,1295000.0,1395000.0,1349000.0,1349000.0,1325000.0,1385000.0,1349000.0,1315000.0,1349499.5,1349000.0,1357500.0,1399000.0,1399000.0
168,90019,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,756500.0,829000.0,729000.0,739000.0,734000.0,749000.0,799000.0,749000.0,799450.0,784500.0,814000.0,799000.0,775000.0,720000.0,788250.0,830000.0,797000.0,799900.0,839000.0,849000.0,829000.0,799900.0,850000.0,827000.0,827000.0,802450.0,799450.0,849000.0,845000.0,849000.0,849000.0,870000.0,899000.0,899000.0,894000.0,925000.0,929000.0,924000.0,899500.0,899000.0,929000.0,993000.0,1033000.0,1000000.0,1070000.0,1095000.0,1125000.0,1150000.0,1190000.0,1150000.0,1150000.0
224,90004,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1178000.0,1119000.0,1124000.0,950000.0,869000.0,947000.0,939000.0,899000.0,957500.0,1089500.0,1174000.0,1070000.0,1049000.0,1050000.0,1149500.0,980000.0,977000.0,1112000.0,964500.0,998000.0,979000.0,1125000.0,1100000.0,1197500.0,1249000.0,1350000.0,1475000.0,1300000.0
240,91342,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365000.0,375000.0,369950.0,375000.0,375000.0,375900.0,375900.0,379999.0,377900.0,379900.0,375000.0,380000.0,385000.0,376900.0,386700.0,385000.0,389900.0,389999.5,399900.0,399993.0,399997.0,399838.5,405000.0,419900.0,420000.0,420000.0,424900.0,410000.0,419900.0,434950.0,445000.0,440000.0,440000.0,439998.5,442500.0,450000.0,455000.0,456569.0,450000.0,459777.0,465000.0,469900.0,479000.0,483950.0,488388.5,489990.0,484950.0,490000.0,491900.0,491900.0,494900.0
265,90011,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316500.0,304500.0,325000.0,320000.0,325000.0,315000.0,320000.0,320000.0,330000.0,335000.0,339999.0,339999.0,359499.5,359999.5,365000.0,360000.0,360000.0,349999.5,350000.0,350000.0,360000.0,364250.0,367700.0,350000.0,363000.0
273,90025,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,699900.0,720000.0,725000.0,725000.0,734000.0,699000.0,695000.0,699500.0,700000.0,687000.0,699750.0,715000.0,729000.0,729000.0,735000.0,739000.0,749000.0,739500.0,769000.0,769000.0,748000.0,745000.0,699000.0,739900.0,794000.0,799000.0,809250.0,819000.0,809475.0,822450.0,795600.0,799000.0,790000.0,838500.0,799000.0,799000.0,808000.0,829000.0,839000.0,824000.0,829000.0,850000.0,829000.0,829000.0,845000.0,880000.0,889000.0,894500.0,899000.0,899000.0,889500.0,896500.0,899000.0,935000.0,899000.0,899000.0,944000.0,1050000.0,1075000.0
277,90027,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1396500.0,1445000.0,1309500.0,1400000.0,1329000.0,1324500.0,1326500.0,1350000.0,1284000.0,1287000.0,1239000.0,1379000.0,1337500.0,1375000.0,1250000.0,1169000.0,1225000.0,1377000.0,1599000.0,1422000.0,1383500.0,1597000.0,1624000.0,1399000.0,1349000.0,1390000.0,1524000.0,1550000.0,1499000.0,1465000.0,1399000.0,1425000.0,1449000.0,1475000.0,1452000.0,1557500.0,1499000.0,1499000.0,1499000.0,1499000.0,1553944.0,1569000.0,1574000.0,1625000.0,1674500.0,1600000.0,1392000.0,1599000.0,1790000.0,1850000.0,1770000.0
